term,corpus_frequency,document_frequency,document_frequency_pct,standard_stopword,domain_specific,candidate_for_removal,reason
empirical,25,16,0.2424,False,False,False,
understand,26,16,0.2424,False,False,False,
program,62,16,0.2424,False,False,False,
identify,25,16,0.2424,False,False,False,
feedback,38,16,0.2424,False,False,False,
high,47,16,0.2424,False,False,False,
address,26,15,0.2273,False,False,False,
python,22,15,0.2273,False,False,False,
focus,20,15,0.2273,False,False,False,
computer,27,15,0.2273,False,False,False,
learning,34,15,0.2273,False,False,False,
time,35,15,0.2273,False,False,False,
student,89,15,0.2273,False,False,False,
data,40,14,0.2121,False,False,False,
correctness,24,14,0.2121,False,False,False,
solve,17,14,0.2121,False,False,False,
increase,24,14,0.2121,False,False,False,
education,33,14,0.2121,False,False,False,
ability,28,14,0.2121,False,False,False,
automate,22,14,0.2121,False,False,False,
achieve,24,14,0.2121,False,False,False,
output,48,14,0.2121,False,False,False,
source,27,14,0.2121,False,False,False,
require,23,14,0.2121,False,False,False,
compare,22,14,0.2121,False,False,False,
requirement,157,14,0.2121,False,False,False,
information,23,14,0.2121,False,False,False,
application,21,13,0.197,False,False,False,
develop,14,13,0.197,False,False,False,
term,20,13,0.197,False,False,False,
perform,19,13,0.197,False,False,False,
give,19,13,0.197,True,False,False,
introduce,19,13,0.197,False,False,False,
cod,35,13,0.197,False,False,False,
apply,18,13,0.197,False,False,False,
approach,38,13,0.197,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
error,19,13,0.197,False,False,False,
assess,27,12,0.1818,False,False,False,
open,20,12,0.1818,False,False,False,
analyze,18,12,0.1818,False,False,False,
reveal,14,12,0.1818,False,False,False,
intelligence,18,12,0.1818,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
artificial,17,12,0.1818,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
context,18,12,0.1818,False,False,False,
level,38,12,0.1818,False,False,False,
efficiency,28,12,0.1818,False,False,False,
question,27,12,0.1818,False,False,False,
experience,20,12,0.1818,False,False,False,
face,15,12,0.1818,False,False,False,
help,14,12,0.1818,False,False,False,
critical,57,12,0.1818,False,False,False,
scenario,25,12,0.1818,False,False,False,
recent,12,12,0.1818,False,False,False,
state,44,11,0.1667,False,False,False,
future,14,11,0.1667,False,False,False,
input,67,11,0.1667,False,False,False,
github,14,11,0.1667,False,False,False,
science,18,11,0.1667,False,False,False,
usage,19,11,0.1667,False,False,False,
comprehensive,13,11,0.1667,False,False,False,
write,21,11,0.1667,False,False,False,
domain,60,11,0.1667,False,False,False,
offer,13,11,0.1667,False,False,False,
practice,19,11,0.1667,False,False,False,
current,23,10,0.1515,False,False,False,
contain,17,10,0.1515,False,False,False,
practical,19,10,0.1515,False,False,False,
available,12,10,0.1515,False,False,False,
accuracy,12,10,0.1515,False,False,False,
example,38,10,0.1515,False,False,False,
support,16,10,0.1515,False,False,False,
set,35,10,0.1515,False,False,False,
fail,10,10,0.1515,False,False,False,
incorrect,19,10,0.1515,False,False,False,
participant,24,10,0.1515,False,False,False,
assist,11,10,0.1515,False,False,False,
complex,24,10,0.1515,False,False,False,
measure,10,10,0.1515,False,False,False,
exhibit,10,10,0.1515,False,False,False,
effectiveness,11,10,0.1515,False,False,False,
limit,26,10,0.1515,False,False,False,
exist,18,10,0.1515,False,False,False,
learn,17,10,0.1515,False,False,False,
knowledge,20,10,0.1515,False,False,False,
advance,9,9,0.1364,False,False,False,
interaction,12,9,0.1364,False,False,False,
response,12,9,0.1364,False,False,False,
researcher,10,9,0.1364,False,False,False,
attempt,14,9,0.1364,False,False,False,
observe,10,9,0.1364,False,False,False,
topic,14,9,0.1364,False,False,False,
technique,15,9,0.1364,False,False,False,
good,16,9,0.1364,False,False,False,
attention,9,9,0.1364,False,False,False,
content,15,9,0.1364,False,False,False,
impact,15,9,0.1364,False,False,False,
university,11,9,0.1364,False,False,False,
experimental,14,9,0.1364,False,False,False,
improvement,11,9,0.1364,False,False,False,
generative,19,9,0.1364,False,False,False,
diverse,11,9,0.1364,False,False,False,
strategy,17,9,0.1364,False,False,False,
leverage,13,9,0.1364,False,False,False,
group,14,9,0.1364,False,False,False,
humaneval,16,9,0.1364,False,False,False,
report,14,9,0.1364,False,False,False,
produce,11,9,0.1364,False,False,False,
art,10,9,0.1364,False,False,False,
ensure,19,9,0.1364,False,False,False,
facilitate,13,9,0.1364,False,False,False,
utilize,13,9,0.1364,False,False,False,
function,81,9,0.1364,False,False,False,
api,35,9,0.1364,False,False,False,
system,38,9,0.1364,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
framework,19,9,0.1364,False,False,False,
train,17,9,0.1364,False,False,False,
key,9,8,0.1212,False,False,False,
general,18,8,0.1212,False,False,False,
complete,20,8,0.1212,False,False,False,
non,17,8,0.1212,False,False,False,
aim,12,8,0.1212,False,False,False,
automatic,16,8,0.1212,False,False,False,
possible,10,8,0.1212,False,False,False,
testing,28,8,0.1212,False,False,False,
multiple,10,8,0.1212,False,False,False,
real,11,8,0.1212,False,False,False,
area,14,8,0.1212,False,False,False,
purpose,12,8,0.1212,False,False,False,
scale,13,8,0.1212,False,False,False,
functional,40,8,0.1212,False,False,False,
highlight,9,8,0.1212,False,False,False,
concept,9,8,0.1212,False,False,False,
role,10,8,0.1212,False,False,False,
rate,27,8,0.1212,False,False,False,
security,17,8,0.1212,False,False,False,
request,9,8,0.1212,False,False,False,
optimize,9,8,0.1212,False,False,False,
examine,12,8,0.1212,False,False,False,
accurate,8,8,0.1212,False,False,False,
hold,9,8,0.1212,False,False,False,
snippet,10,8,0.1212,False,False,False,
create,12,8,0.1212,False,False,False,
setting,10,8,0.1212,False,False,False,
enable,20,8,0.1212,False,False,False,
multi,14,8,0.1212,False,False,False,
traditional,10,8,0.1212,False,False,False,
metric,9,8,0.1212,False,False,False,
way,7,7,0.1061,False,False,False,
text,10,7,0.1061,False,False,False,
phenomenon,9,7,0.1061,False,False,False,
follow,24,7,0.1061,False,False,False,
rapid,10,7,0.1061,False,False,False,
introduction,8,7,0.1061,False,False,False,
behavior,12,7,0.1061,False,False,False,
low,18,7,0.1061,False,False,False,
step,17,7,0.1061,False,False,False,
novel,7,7,0.1061,False,False,False,
gap,12,7,0.1061,False,False,False,
copyright,9,7,0.1061,False,False,False,
range,26,7,0.1061,False,False,False,
limitation,14,7,0.1061,False,False,False,
aspect,14,7,0.1061,False,False,False,
power,18,7,0.1061,False,False,False,
simple,14,7,0.1061,False,False,False,
form,10,7,0.1061,False,False,False,
copilot,23,7,0.1061,False,False,False,
insight,8,7,0.1061,False,False,False,
popular,9,7,0.1061,False,False,False,
coding,9,7,0.1061,False,True,False,"substantive domain term (Section 12 list) - retained by default, evaluated via HF-A/B/C"
involve,10,7,0.1061,False,False,False,
completion,15,7,0.1061,False,False,False,
main,15,7,0.1061,False,False,False,
relevant,8,7,0.1061,False,False,False,
advanced,7,7,0.1061,False,False,False,
benefit,8,7,0.1061,False,False,False,
class,29,7,0.1061,False,False,False,
processing,12,7,0.1061,False,False,False,
field,20,7,0.1061,False,False,False,
description,32,7,0.1061,False,False,False,
instruction,11,7,0.1061,False,False,False,
feature,15,7,0.1061,False,False,False,
vulnerability,15,7,0.1061,False,False,False,
specification,9,7,0.1061,False,False,False,
line,8,7,0.1061,False,False,False,
copy,15,7,0.1061,False,False,False,
indicate,12,7,0.1061,False,False,False,
commercial,7,7,0.1061,False,False,False,
assistant,24,7,0.1061,False,False,False,
machine,10,7,0.1061,False,False,False,
creative,13,7,0.1061,False,False,False,
project,23,7,0.1061,False,False,False,
score,7,6,0.0909,False,False,False,
subject,7,6,0.0909,False,False,False,
opportunity,7,6,0.0909,False,False,False,
ask,6,6,0.0909,False,False,False,
google,11,6,0.0909,False,False,False,
standard,25,6,0.0909,False,False,False,
collect,6,6,0.0909,False,False,False,
reduce,8,6,0.0909,False,False,False,
access,10,6,0.0909,False,False,False,
average,8,6,0.0909,False,False,False,
integration,11,6,0.0909,False,False,False,
number,32,6,0.0909,False,False,False,
digital,14,6,0.0909,False,False,False,
know,6,6,0.0909,False,False,False,
crucial,7,6,0.0909,False,False,False,
validate,8,6,0.0909,False,False,False,
phase,15,6,0.0909,False,False,False,
particular,6,6,0.0909,False,False,False,
make,6,6,0.0909,True,False,False,
emerge,8,6,0.0909,False,False,False,
verification,19,6,0.0909,False,False,False,
exploration,8,6,0.0909,False,False,False,
algorithm,32,6,0.0909,False,False,False,
change,16,6,0.0909,False,False,False,
promise,6,6,0.0909,False,False,False,
mitigate,11,6,0.0909,False,False,False,
complexity,10,6,0.0909,False,False,False,
size,6,6,0.0909,False,False,False,
course,19,6,0.0909,False,False,False,
suggest,15,6,0.0909,False,False,False,
pattern,10,6,0.0909,False,False,False,
attribute,6,6,0.0909,False,False,False,
review,14,6,0.0909,False,False,False,
implementation,8,6,0.0909,False,False,False,
great,8,6,0.0909,False,False,False,
promising,7,6,0.0909,False,False,False,
cover,8,6,0.0909,False,False,False,
world,9,6,0.0909,False,False,False,
trust,11,6,0.0909,False,False,False,
understanding,13,6,0.0909,False,False,False,
difference,14,6,0.0909,False,False,False,
detection,10,6,0.0909,False,False,False,
effective,8,6,0.0909,False,False,False,
prior,6,6,0.0909,False,False,False,
factor,7,6,0.0909,False,False,False,
gain,7,6,0.0909,False,False,False,
productivity,6,6,0.0909,False,False,False,
employ,8,6,0.0909,False,False,False,
workflow,10,6,0.0909,False,False,False,
usability,12,6,0.0909,False,False,False,
implement,16,6,0.0909,False,False,False,
hallucinate,9,6,0.0909,False,False,False,
able,7,6,0.0909,False,False,False,
openai,14,6,0.0909,False,False,False,
advantage,8,6,0.0909,False,False,False,
establish,6,6,0.0909,False,False,False,
distribution,6,6,0.0909,False,False,False,
build,8,6,0.0909,False,False,False,
relate,7,6,0.0909,False,False,False,
prone,7,6,0.0909,False,False,False,
community,13,6,0.0909,False,False,False,
handle,14,6,0.0909,False,False,False,
detailed,18,6,0.0909,False,False,False,
difficulty,7,6,0.0909,False,False,False,
addition,7,5,0.0758,False,False,False,
mbpp,9,5,0.0758,False,False,False,
pose,5,5,0.0758,False,False,False,
lack,16,5,0.0758,False,False,False,
systematic,6,5,0.0758,False,False,False,
overall,36,5,0.0758,False,False,False,
integrate,6,5,0.0758,False,False,False,
style,6,5,0.0758,False,False,False,
appropriate,7,5,0.0758,False,False,False,
well,7,5,0.0758,True,False,False,
struggle,5,5,0.0758,False,False,False,
rely,8,5,0.0758,False,False,False,
expert,10,5,0.0758,False,False,False,
single,8,5,0.0758,False,False,False,
allow,9,5,0.0758,False,False,False,
unique,7,5,0.0758,False,False,False,
debugging,8,5,0.0758,False,False,False,
hand,6,5,0.0758,False,False,False,
underscore,5,5,0.0758,False,False,False,
java,12,5,0.0758,False,False,False,
check,13,5,0.0758,False,False,False,
chatbot,8,5,0.0758,False,False,False,
success,6,5,0.0758,False,False,False,
pass,13,5,0.0758,False,False,False,
classroom,6,5,0.0758,False,False,False,
permission,9,5,0.0758,False,False,False,
hard,5,5,0.0758,False,False,False,
verify,11,5,0.0758,False,False,False,
post,8,5,0.0758,False,False,False,
list,17,5,0.0758,False,False,False,
author,5,5,0.0758,False,False,False,
methodology,7,5,0.0758,False,False,False,
incorporate,5,5,0.0758,False,False,False,
self,21,5,0.0758,False,False,False,
powerful,8,5,0.0758,False,False,False,
principle,6,5,0.0758,False,False,False,
point,20,5,0.0758,False,False,False,
lead,9,5,0.0758,False,False,False,
small,6,5,0.0758,False,False,False,
gpt,12,5,0.0758,False,False,False,
call,10,5,0.0758,True,False,False,
categorize,6,5,0.0758,False,False,False,
discuss,7,5,0.0758,False,False,False,
hallucinations,5,5,0.0758,False,False,False,
order,8,5,0.0758,False,False,False,
validation,7,5,0.0758,False,False,False,
degree,5,5,0.0758,False,False,False,
perspective,13,5,0.0758,False,False,False,
receive,11,5,0.0758,False,False,False,
conversation,9,5,0.0758,False,False,False,
platform,12,5,0.0758,False,False,False,
sample,5,5,0.0758,False,False,False,
online,11,5,0.0758,False,False,False,
engineer,9,5,0.0758,False,False,False,
value,30,5,0.0758,False,False,False,
detail,7,5,0.0758,False,False,False,
taxonomy,5,5,0.0758,False,False,False,
determine,6,5,0.0758,False,False,False,
paradigm,6,5,0.0758,False,False,False,
previous,7,5,0.0758,False,False,False,
table,18,5,0.0758,False,False,False,
refer,9,5,0.0758,False,False,False,
license,7,5,0.0758,False,False,False,
efficient,6,5,0.0758,False,False,False,
repository,6,5,0.0758,False,False,False,
extract,7,5,0.0758,False,False,False,
structured,7,5,0.0758,False,False,False,
documentation,7,5,0.0758,False,False,False,
goal,5,5,0.0758,False,False,False,
programmer,9,5,0.0758,False,False,False,
differ,8,5,0.0758,False,False,False,
consistency,11,5,0.0758,False,False,False,
assignment,27,5,0.0758,False,False,False,
suggestion,6,5,0.0758,False,False,False,
perceive,6,5,0.0758,False,False,False,
dependency,11,5,0.0758,False,False,False,
refine,8,5,0.0758,False,False,False,
automated,6,5,0.0758,False,False,False,
educator,6,5,0.0758,False,False,False,
refinement,9,5,0.0758,False,False,False,
parameter,16,5,0.0758,False,False,False,
creation,9,5,0.0758,False,False,False,
long,7,5,0.0758,False,False,False,
technology,8,5,0.0758,False,False,False,
bring,6,5,0.0758,False,False,False,
industry,27,5,0.0758,False,False,False,
satisfy,6,5,0.0758,False,False,False,
take,7,4,0.0606,True,False,False,
intent,7,4,0.0606,False,False,False,
unit,6,4,0.0606,False,False,False,
correlation,10,4,0.0606,False,False,False,
manner,4,4,0.0606,False,False,False,
tune,5,4,0.0606,False,False,False,
shot,9,4,0.0606,False,False,False,
capable,6,4,0.0606,False,False,False,
deviation,5,4,0.0606,False,False,False,
remain,4,4,0.0606,False,False,False,
china,6,4,0.0606,False,False,False,
reflect,4,4,0.0606,False,False,False,
seek,5,4,0.0606,False,False,False,
practitioner,5,4,0.0606,False,False,False,
attack,18,4,0.0606,False,False,False,
outcome,5,4,0.0606,False,False,False,
introductory,7,4,0.0606,False,False,False,
successful,5,4,0.0606,False,False,False,
modern,5,4,0.0606,False,False,False,
consider,8,4,0.0606,False,False,False,
mathematical,5,4,0.0606,False,False,False,
basic,16,4,0.0606,False,False,False,
international,5,4,0.0606,False,False,False,
distribute,4,4,0.0606,False,False,False,
importance,5,4,0.0606,False,False,False,
emphasize,7,4,0.0606,False,False,False,
preliminary,5,4,0.0606,False,False,False,
library,5,4,0.0606,False,False,False,
conversational,4,4,0.0606,False,False,False,
intelligent,4,4,0.0606,False,False,False,
contribute,4,4,0.0606,False,False,False,
environment,4,4,0.0606,False,False,False,
challenging,5,4,0.0606,False,False,False,
sub,4,4,0.0606,False,False,False,
recommendation,5,4,0.0606,False,False,False,
vast,4,4,0.0606,False,False,False,
limited,5,4,0.0606,False,False,False,
observation,4,4,0.0606,False,False,False,
space,4,4,0.0606,False,False,False,
network,4,4,0.0606,False,False,False,
exploit,4,4,0.0606,False,False,False,
conclude,6,4,0.0606,False,False,False,
literature,5,4,0.0606,False,False,False,
comparison,7,4,0.0606,False,False,False,
progress,4,4,0.0606,False,False,False,
accept,5,4,0.0606,False,False,False,
predefine,4,4,0.0606,False,False,False,
architecture,5,4,0.0606,False,False,False,
compute,6,4,0.0606,False,False,False,
answer,12,4,0.0606,False,False,False,
guide,4,4,0.0606,False,False,False,
object,8,4,0.0606,False,False,False,
end,5,4,0.0606,False,False,False,
grow,4,4,0.0606,False,False,False,
mean,9,4,0.0606,False,False,False,
strong,7,4,0.0606,False,False,False,
direct,6,4,0.0606,False,False,False,
extensive,4,4,0.0606,False,False,False,
cause,4,4,0.0606,False,False,False,
mitigation,7,4,0.0606,False,False,False,
wide,5,4,0.0606,False,False,False,
permit,6,4,0.0606,False,False,False,
component,4,4,0.0606,False,False,False,
construct,4,4,0.0606,False,False,False,
reference,7,4,0.0606,False,False,False,
readability,8,4,0.0606,False,False,False,
perception,8,4,0.0606,False,False,False,
query,5,4,0.0606,False,False,False,
weak,4,4,0.0606,False,False,False,
feed,4,4,0.0606,False,False,False,
return,8,4,0.0606,False,False,False,
associate,5,4,0.0606,False,False,False,
expertise,6,4,0.0606,False,False,False,
proficiency,5,4,0.0606,False,False,False,
right,4,4,0.0606,False,False,False,
name,8,4,0.0606,True,False,False,
scientific,5,4,0.0606,False,False,False,
continue,4,4,0.0606,False,False,False,
professional,4,4,0.0606,False,False,False,
revolutionize,4,4,0.0606,False,False,False,
executable,5,4,0.0606,False,False,False,
debug,5,4,0.0606,False,False,False,
tools,4,4,0.0606,False,False,False,
helpful,4,4,0.0606,False,False,False,
fix,5,4,0.0606,False,False,False,
reasoning,4,4,0.0606,False,False,False,
internal,4,4,0.0606,False,False,False,
trigger,4,4,0.0606,False,False,False,
interface,7,4,0.0606,False,False,False,
vary,4,4,0.0606,False,False,False,
affect,4,4,0.0606,False,False,False,
influence,4,4,0.0606,False,False,False,
believe,4,4,0.0606,False,False,False,
outperform,4,4,0.0606,False,False,False,
synthesize,4,4,0.0606,False,False,False,
section,12,4,0.0606,False,False,False,
manual,9,4,0.0606,False,False,False,
technical,8,4,0.0606,False,False,False,
tendency,4,4,0.0606,False,False,False,
page,4,4,0.0606,False,False,False,
notice,4,4,0.0606,False,False,False,
share,4,4,0.0606,False,False,False,
translate,4,4,0.0606,False,False,False,
structure,11,4,0.0606,False,False,False,
second,7,4,0.0606,False,False,False,
owner,4,4,0.0606,False,False,False,
june,5,4,0.0606,False,False,False,
syntax,4,4,0.0606,False,False,False,
diagram,13,4,0.0606,False,False,False,
variable,7,4,0.0606,False,False,False,
strength,4,4,0.0606,False,False,False,
automation,5,4,0.0606,False,False,False,
describe,5,4,0.0606,False,False,False,
execution,5,4,0.0606,False,False,False,
memory,6,4,0.0606,False,False,False,
module,10,4,0.0606,False,False,False,
people,9,4,0.0606,False,False,False,
iterative,8,4,0.0606,False,False,False,
chain,8,4,0.0606,False,False,False,
objective,4,4,0.0606,False,False,False,
image,4,4,0.0606,False,False,False,
possess,6,4,0.0606,False,False,False,
active,6,4,0.0606,False,False,False,
similar,5,4,0.0606,False,False,False,
training,10,4,0.0606,False,False,False,
assistance,6,4,0.0606,False,False,False,
contextual,4,4,0.0606,False,False,False,
transformer,9,4,0.0606,False,False,False,
foundation,5,4,0.0606,False,False,False,
surpass,4,4,0.0606,False,False,False,
divide,4,4,0.0606,False,False,False,
represent,12,3,0.0455,False,False,False,
march,4,3,0.0455,False,False,False,
nlp,3,3,0.0455,False,False,False,
augmented,13,3,0.0455,False,False,False,
tend,3,3,0.0455,False,False,False,
rule,3,3,0.0455,False,False,False,
unclear,3,3,0.0455,False,False,False,
drive,12,3,0.0455,False,False,False,
variation,3,3,0.0455,False,False,False,
early,7,3,0.0455,False,False,False,
one,3,3,0.0455,True,False,False,
precision,3,3,0.0455,False,False,False,
mistake,3,3,0.0455,False,False,False,
run,3,3,0.0455,False,False,False,
baseline,4,3,0.0455,False,False,False,
summarize,3,3,0.0455,False,False,False,
stage,10,3,0.0455,False,False,False,
logic,10,3,0.0455,False,False,False,
specify,3,3,0.0455,False,False,False,
convert,3,3,0.0455,False,False,False,
attract,3,3,0.0455,False,False,False,
interest,3,3,0.0455,False,False,False,
demand,6,3,0.0455,False,False,False,
management,3,3,0.0455,False,False,False,
following,10,3,0.0455,False,False,False,
idea,3,3,0.0455,False,False,False,
independent,3,3,0.0455,False,False,False,
execute,5,3,0.0455,False,False,False,
incomplete,7,3,0.0455,False,False,False,
statement,6,3,0.0455,False,False,False,
peer,6,3,0.0455,False,False,False,
bridge,5,3,0.0455,False,False,False,
hallucinated,5,3,0.0455,False,False,False,
survey,8,3,0.0455,False,False,False,
publication,3,3,0.0455,False,False,False,
expression,3,3,0.0455,False,False,False,
obtain,3,3,0.0455,False,False,False,
transform,6,3,0.0455,False,False,False,
look,3,3,0.0455,False,False,False,
detect,6,3,0.0455,False,False,False,
mechanism,5,3,0.0455,False,False,False,
symbolic,3,3,0.0455,False,False,False,
leave,3,3,0.0455,False,False,False,
capture,3,3,0.0455,False,False,False,
bear,3,3,0.0455,False,False,False,
citation,3,3,0.0455,False,False,False,
malicious,6,3,0.0455,False,False,False,
clear,3,3,0.0455,False,False,False,
place,4,3,0.0455,False,False,False,
likely,3,3,0.0455,False,False,False,
erroneous,3,3,0.0455,False,False,False,
pair,4,3,0.0455,False,False,False,
match,3,3,0.0455,False,False,False,
generated,3,3,0.0455,False,False,False,
combine,5,3,0.0455,False,False,False,
encompass,3,3,0.0455,False,False,False,
interact,4,3,0.0455,False,False,False,
speed,80,3,0.0455,False,False,False,
adopt,6,3,0.0455,False,False,False,
personal,3,3,0.0455,False,False,False,
partial,3,3,0.0455,False,False,False,
difficult,3,3,0.0455,False,False,False,
necessary,4,3,0.0455,False,False,False,
theory,6,3,0.0455,False,False,False,
positive,11,3,0.0455,False,False,False,
explanation,7,3,0.0455,False,False,False,
package,23,3,0.0455,False,False,False,
remarkable,3,3,0.0455,False,False,False,
discussion,3,3,0.0455,False,False,False,
acquire,3,3,0.0455,False,False,False,
breakthrough,3,3,0.0455,False,False,False,
reliability,4,3,0.0455,False,False,False,
specialized,4,3,0.0455,False,False,False,
release,10,3,0.0455,False,False,False,
acm,4,3,0.0455,False,False,False,
light,3,3,0.0455,False,False,False,
numerous,3,3,0.0455,False,False,False,
figure,6,3,0.0455,False,False,False,
typical,4,3,0.0455,False,False,False,
signal,104,3,0.0455,False,False,False,
iteration,13,3,0.0455,False,False,False,
choose,3,3,0.0455,False,False,False,
select,5,3,0.0455,False,False,False,
expect,4,3,0.0455,False,False,False,
resolve,4,3,0.0455,False,False,False,
buggy,4,3,0.0455,False,False,False,
cross,4,3,0.0455,False,False,False,
illustrate,3,3,0.0455,False,False,False,
initial,3,3,0.0455,False,False,False,
secure,6,3,0.0455,False,False,False,
april,4,3,0.0455,False,False,False,
teach,4,3,0.0455,False,False,False,
format,3,3,0.0455,False,False,False,
own,3,3,0.0455,True,False,False,
honor,3,3,0.0455,False,False,False,
credit,4,3,0.0455,False,False,False,
department,4,3,0.0455,False,False,False,
resource,6,3,0.0455,False,False,False,
predict,13,3,0.0455,False,False,False,
vulnerable,5,3,0.0455,False,False,False,
optimal,3,3,0.0455,False,False,False,
depth,3,3,0.0455,False,False,False,
start,6,3,0.0455,False,False,False,
mode,17,3,0.0455,False,False,False,
accord,9,3,0.0455,False,False,False,
date,4,3,0.0455,False,False,False,
javascript,3,3,0.0455,False,False,False,
player,9,3,0.0455,False,False,False,
control,32,3,0.0455,False,False,False,
uml,9,3,0.0455,False,False,False,
revise,3,3,0.0455,False,False,False,
year,5,3,0.0455,False,False,False,
codecontests,4,3,0.0455,False,False,False,
accelerate,6,3,0.0455,False,False,False,
boost,3,3,0.0455,False,False,False,
bug,13,3,0.0455,False,False,False,
assessment,12,3,0.0455,False,False,False,
assignments,3,3,0.0455,False,False,False,
effect,3,3,0.0455,False,False,False,
refactore,3,3,0.0455,False,False,False,
entire,11,3,0.0455,False,False,False,
grant,3,3,0.0455,False,False,False,
character,3,3,0.0455,False,False,False,
plausible,3,3,0.0455,False,False,False,
commons,6,3,0.0455,False,False,False,
target,3,3,0.0455,False,False,False,
mixed,3,3,0.0455,False,False,False,
implication,3,3,0.0455,False,False,False,
emergence,3,3,0.0455,False,False,False,
gather,4,3,0.0455,False,False,False,
functionality,4,3,0.0455,False,False,False,
embed,3,3,0.0455,False,False,False,
summary,6,3,0.0455,False,False,False,
structural,4,3,0.0455,False,False,False,
local,4,3,0.0455,False,False,False,
aware,4,3,0.0455,False,False,False,
era,3,3,0.0455,False,False,False,
visualization,4,3,0.0455,False,False,False,
chen,4,3,0.0455,False,False,False,
careful,5,3,0.0455,False,False,False,
educational,6,3,0.0455,False,False,False,
reliance,5,3,0.0455,False,False,False,
majority,3,3,0.0455,False,False,False,
view,3,3,0.0455,False,False,False,
broad,3,3,0.0455,False,False,False,
supply,6,3,0.0455,False,False,False,
variety,3,3,0.0455,False,False,False,
serve,4,3,0.0455,False,False,False,
part,3,3,0.0455,True,False,False,
https,3,3,0.0455,False,False,False,
document,8,3,0.0455,False,False,False,
